06/04-14:39:00.675832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.5,17979,10.0.2.24,22
06/04-14:39:00.795832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.9,37879,10.0.0.10,914
06/04-14:39:00.915832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.75,36963,10.0.2.27,22
06/04-14:39:01.035832,1,1000001,1,ET POLICY Normal client flow,udp,192.168.0.151,62728,10.10.2.33,443
06/04-14:39:01.155832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.10,50870,10.0.0.11,296
06/04-14:39:01.275832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.31,3694,10.0.2.35,22
06/04-14:39:01.395832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.89,8977,10.0.2.25,22
06/04-14:39:01.515832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.2.145,28769,10.10.2.117,80
06/04-14:39:01.635832,1,2010935,3,ET DOS Possible SYN Flood,tcp,203.0.113.11,1428,10.0.1.10,80
06/04-14:39:01.755832,1,2010935,3,ET DOS Possible SYN Flood,tcp,203.0.113.46,17426,10.0.1.10,443
06/04-14:39:01.875832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.47,21846,10.0.2.34,22
06/04-14:39:01.995832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.0.89,48152,10.10.0.210,110
06/04-14:39:02.115832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.2.70,65023,10.10.3.251,443
06/04-14:39:02.235832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.13,41867,10.0.0.10,95
06/04-14:39:02.355832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.38,52475,10.0.2.26,22
06/04-14:39:02.475832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.2.89,8208,10.10.2.40,443
06/04-14:39:02.595832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.65,23094,10.0.2.27,22
06/04-14:39:02.715832,1,1000001,1,ET POLICY Normal client flow,udp,192.168.2.27,3803,10.10.1.28,143
06/04-14:39:02.835832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.1.141,21136,10.10.1.233,143
06/04-14:39:02.955832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.30,42992,10.0.2.20,22
06/04-14:39:03.075832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.73,14606,10.0.2.34,22
06/04-14:39:03.195832,1,1000001,1,ET POLICY Normal client flow,udp,192.168.3.217,46184,10.10.1.159,80
06/04-14:39:03.315832,1,2010935,3,ET DOS Possible SYN Flood,tcp,203.0.113.2,51268,10.0.1.10,443
06/04-14:39:03.435832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.71,58084,10.0.2.33,22
06/04-14:39:03.555832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.2.238,35132,10.10.2.136,80
06/04-14:39:03.675832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.3.81,55377,10.10.0.254,80
06/04-14:39:03.795832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.4,39534,10.0.2.29,22
06/04-14:39:03.915832,1,2010935,3,ET DOS Possible SYN Flood,tcp,203.0.113.54,60806,10.0.1.10,443
06/04-14:39:04.035832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.104,47553,10.0.2.28,22
06/04-14:39:04.155832,1,1000001,1,ET POLICY Normal client flow,tcp,192.168.1.11,27148,10.10.0.151,443
06/04-14:39:04.275832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.26,25198,10.0.2.30,22
06/04-14:39:04.395832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.5,32213,10.0.0.5,149
06/04-14:39:04.515832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.6,50603,10.0.0.11,524
06/04-14:39:04.635832,1,2011967,4,ET POLICY Possible SSH Brute-Force Attempt,tcp,198.51.100.54,18142,10.0.2.24,22
06/04-14:39:04.755832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.9,44854,10.0.0.14,56
06/04-14:39:04.875832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.12,42880,10.0.0.7,969
06/04-14:39:04.995832,1,2001219,2,ET SCAN Nmap Scripting Engine User-Agent Detected,tcp,172.16.0.5,38456,10.0.0.15,815
